"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-05-20","회원-내국인","F","30대","437"
"2018-05-20","회원-내국인","F","20대","1113"
"2018-05-19","회원-내국인","M","~10대","58"
"2018-05-19","회원-내국인","M","70대~","6"
"2018-05-19","회원-내국인","M","60대","18"
"2018-05-19","회원-내국인","M","50대","75"
"2018-05-19","회원-내국인","M","40대","258"
"2018-05-19","회원-내국인","M","30대","557"
"2018-05-19","회원-내국인","M","20대","1127"
"2018-05-19","회원-내국인","F","~10대","109"
"2018-05-19","회원-내국인","F","70대~","6"
"2018-05-19","회원-내국인","F","60대","12"
"2018-05-19","회원-내국인","F","50대","86"
"2018-05-19","회원-내국인","F","40대","205"
"2018-05-19","회원-내국인","F","30대","478"
"2018-05-19","회원-내국인","F","20대","1347"
"2018-05-18","회원-내국인","M","~10대","16"
"2018-05-18","회원-내국인","M","70대~","1"
"2018-05-18","회원-내국인","M","60대","10"
"2018-05-18","회원-내국인","M","50대","31"
"2018-05-18","회원-내국인","M","40대","55"
"2018-05-18","회원-내국인","M","30대","111"
"2018-05-18","회원-내국인","M","20대","223"
"2018-05-18","회원-내국인","F","~10대","13"
"2018-05-18","회원-내국인","F","60대","5"
"2018-05-18","회원-내국인","F","50대","24"
"2018-05-18","회원-내국인","F","40대","41"
"2018-05-18","회원-내국인","F","30대","94"
"2018-05-18","회원-내국인","F","20대","242"
"2018-05-17","회원-내국인","M","~10대","6"
"2018-05-17","회원-내국인","M","70대~","3"
"2018-05-17","회원-내국인","M","60대","7"
"2018-05-17","회원-내국인","M","50대","20"
"2018-05-17","회원-내국인","M","40대","49"
"2018-05-17","회원-내국인","M","30대","53"
"2018-05-17","회원-내국인","M","20대","42"
"2018-05-17","회원-내국인","F","~10대","3"
"2018-05-17","회원-내국인","F","60대","2"
"2018-05-17","회원-내국인","F","50대","10"
"2018-05-17","회원-내국인","F","40대","25"
"2018-05-17","회원-내국인","F","30대","43"
"2018-05-17","회원-내국인","F","20대","49"
"2018-05-16","회원-내국인","M","~10대","7"
"2018-05-16","회원-내국인","M","70대~","3"
